city,state_id,county_name,population,density,zips
Malvern,AR,Hot Spring,11751,487,72104
Ozan,AR,Hempstead,81,95,71855
Danville,AR,Yell,2420,218,72833
Gilbert,AR,Searcy,27,28,72636 72675
Greenbrier,AR,Faulkner,4736,266,72058
Hindsville,AR,Madison,65,67,72738
Williford,AR,Sharp,82,90,72482
Thornton,AR,Calhoun,389,78,71766
Victoria,AR,Mississippi,33,40,72370 72315
Siloam Springs,AR,Benton,21642,571,72761
Vilonia,AR,Faulkner,4538,219,72173
Cotton Plant,AR,Woodruff,587,218,72036
Bradford,AR,White,744,331,72020
Rogers,AR,Benton,66430,672,72758 72756 72718 72716 72757
Kensett,AR,White,1633,344,72082
Dover,AR,Pope,1407,192,72837
Stephens,AR,Ouachita,809,113,71764
Gillham,AR,Sevier,156,65,71841
Rector,AR,Clay,1799,513,72461
Mena,AR,Polk,5339,321,71953
Blue Eye,AR,Carroll,35,177,72660
Watson,AR,Desha,186,396,71674
Wynne,AR,Cross,7348,345,72396
Bay,AR,Craighead,1805,226,72411
Beebe,AR,White,7477,311,72012
Waldron,AR,Scott,3134,263,72958
Eudora,AR,Chicot,2005,250,71640
Mountainburg,AR,Crawford,615,156,72946
Cave Springs,AR,Benton,4432,215,72712 72718
Coy,AR,Lonoke,95,54,72037 72046
Stuttgart,AR,Arkansas,8685,474,72160
Buckner,AR,Lafayette,246,80,71827
Clarksville,AR,Johnson,7664,200,72830
Haynes,AR,Lee,128,141,72341
Strong,AR,Union,520,180,71765
Junction City,AR,Union,537,182,71749
Moorefield,AR,Independence,135,46,72501
Yarborough Landing,AR,Little River,272,47,71822
Oppelo,AR,Conway,760,120,72110
Sheridan,AR,Grant,4731,158,72150
Okolona,AR,Clark,138,67,71962
Hatfield,AR,Polk,393,118,71945
Lake View,AR,Phillips,378,29,72355 72342
Roland,AR,Pulaski,473,22,72135
Bearden,AR,Ouachita,877,209,71720
Delight,AR,Pike,262,224,71940
Parkdale,AR,Ashley,258,97,71661
Jennette,AR,Crittenden,113,19,72327
Nimmons,AR,Clay,66,102,72461
Reyno,AR,Randolph,443,169,72462 72413
Hermitage,AR,Bradley,781,279,71647
Pine Bluff,AR,Jefferson,46850,379,71602 71601 71603 71611 71612
Fort Smith,AR,Sebastian,125562,537,72901 72904 72908 72903 72923 72916 72905 72906 72913 72914 72917 72918 72919
Everton,AR,Boone,133,108,72633
Bluff City,AR,Nevada,117,19,71857 71722
Fifty-Six,AR,Stone,177,33,72533
Plainview,AR,Yell,587,155,72857
Greenland,AR,Washington,1406,132,72701 72737
Hickory Ridge,AR,Cross,249,148,72347
Walnut Ridge,AR,Lawrence,6568,119,72476
Decatur,AR,Benton,1799,155,72722
Tollette,AR,Howard,248,99,71851
Magazine,AR,Logan,835,193,72943
Etowah,AR,Mississippi,321,20,72370 72428
Dermott,AR,Chicot,3158,293,71638
Marshall,AR,Searcy,1302,125,72650
Haskell,AR,Saline,4575,359,72015
Batesville,AR,Independence,12050,357,72501
Norfork,AR,Baxter,529,88,72658 72659
Weldon,AR,Jackson,70,110,72112
Gould,AR,Lincoln,755,187,71643
Blevins,AR,Hempstead,306,118,71825
Woodlawn,AR,Cleveland,189,31,71665
Brookland,AR,Craighead,3316,169,72417
Gum Springs,AR,Clark,113,111,71923
Little Rock,AR,Pulaski,442699,643,72211 72210 72212 72223 72209 72202 72201 72206 72207 72204 72205 72103 72227 72215 72217 72219 72222 72225 72231 72255 72260 72295
Hackett,AR,Sebastian,825,221,72937
Gosnell,AR,Mississippi,3271,756,72315 72319
Shannon Hills,AR,Saline,3806,556,72002 72103
Adona,AR,Perry,204,82,72001
Sweet Home,AR,Pulaski,522,51,72206 72164
Caraway,AR,Craighead,1256,210,72419
Ogden,AR,Little River,159,159,71853 71822
Lake Hamilton,AR,Garland,2186,433,71913
Roe,AR,Monroe,99,213,72134
