Geographic area,Area in square miles - Total area,Density per square mile of land area - Population,Density per square mile of land area - Housing units
Latah County,1076.91,34.6,14.9
Lemhi County,4568.75,1.7,1
Lewis County,479.74,8,3.9
Lincoln County,1205.89,4.3,1.6
Madison County,473.23,80,24
Minidoka County,762.93,26.5,10.1
Nez Perce County,856.28,46.3,20.6
Oneida County,1201.6,3.6,1.6
Owyhee County,7696.98,1.5,0.6
Payette County,410.28,55.6,22
Power County,1442.67,5.6,2.1
Shoshone County,2635.12,4.9,2.7
Teton County,450.56,22.6,12.2
Twin Falls County,1928.32,40.2,16.2
Valley County,3732.96,2.7,3.2
Washington County,1473.53,7,3.1
Illinois,57913.55,231.1,95.4
Adams County,871.34,78.5,34.9
Alexander County,252.6,35,17
Bond County,382.76,46.7,18.6
Boone County,282.02,193,71.1
Brown County,307.21,22.7,8.1
Bureau County,873.5,40.2,18.1
Calhoun County,283.58,20,11.2
Carroll County,466.36,34.6,19
Cass County,383.76,36.3,15.5
Champaign County,998.39,201.8,87.9
Christian County,715.64,49.1,21.9
Clark County,504.82,32.6,15.5
Clay County,469.59,29.5,13.7
Clinton County,503.27,79.7,32.3
Coles County,510.08,106,46.1
Cook County,1634.86,5495.1,2306.5
Crawford County,445.82,44.7,19.5
Cumberland County,347,31.9,14.1
DeKalb County,634.66,166.6,65.1
De Witt County,405.08,41.7,18.9
Douglas County,417.22,48,20.1
DuPage County,336.41,2799.8,1087.6
Edgar County,624,29.8,14.1
Edwards County,222.72,30.2,14.3
Effingham County,480.01,71.5,30.4
Fayette County,725.34,30.9,13
Ford County,486.24,29,12.9
Franklin County,431.44,96.8,45.3
Fulton County,882.57,42.8,18.7
Gallatin County,328.18,17.3,8.5
Greene County,546.27,25.6,11.8
Grundy County,430.45,119.8,47.8
Hamilton County,435.89,19.5,9.4
Hancock County,814.4,24.1,11.7
Hardin County,181.58,24.3,14
Henderson County,395.22,19.3,10.1
Henry County,825.64,61.3,26.9
Iroquois County,1118.93,26.6,12
Jackson County,602.38,103.1,48.9
Jasper County,498.12,19.6,8.8
Jefferson County,583.78,68,29.7
Jersey County,377.13,62.2,26.7
Jo Daviess County,618.73,37.7,22.6
Johnson County,348.86,36.6,16.3
Kane County,524.2,990.8,350.1
Kankakee County,681.36,167.7,66.9
Kendall County,322.32,358.2,125.9
Knox County,719.81,73.9,33.6
Lake County,1368.48,1585.6,586.7
LaSalle County,1148.14,100.4,44
Lawrence County,374.14,45.2,18.6
Lee County,728.95,49.7,20.8
Livingston County,1045.93,37.3,15.2
Logan County,618.93,49,19.6
McDonough County,590.18,55.3,24.5
McHenry County,610.81,511.9,192.4
McLean County,1186.27,143.3,58.9
Macon County,585.86,190.8,86.9
Macoupin County,867.65,55.4,25
Madison County,740.56,376.3,163.7
Marion County,576.04,68.9,32
Marshall County,398.51,32.7,15.3
Mason County,563.46,27.2,13.1
Massac County,241.81,65,30
Menard County,315.46,40.4,18
Mercer County,568.69,29.3,13.1
Monroe County,398.04,85.6,34.8
Montgomery County,709.68,42.8,18.6
Morgan County,572.3,62.5,27.3
Moultrie County,344.48,44.2,18.6
Ogle County,762.99,70.5,29.7
Peoria County,630.6,301.2,134.1
Perry County,446.95,50.6,21.3
Piatt County,439.46,38.1,16.6
Pike County,848.88,19.8,9.6
Pope County,374.3,12.1,6.8
Pulaski County,203.23,30.9,15.8
Putnam County,172.22,37.5,19.2
Randolph County,597.2,58.2,23.8
Richland County,361.9,45.1,20.9
Rock Island County,451.29,345,153.8
St. Clair County,674.03,410.6,176.7
Saline County,386.78,65.6,30.8
Sangamon County,877.02,227.4,103.5
Schuyler County,441.33,17.3,7.9
Scott County,252.77,21.3,9.8
Shelby County,768.07,29.5,13.7
Stark County,288.35,20.8,9.3
Stephenson County,565.06,84.5,39.1
Tazewell County,657.94,208.6,88.6
Union County,422.15,43.1,19.2
Vermilion County,901.28,90.9,40.4
Wabash County,227.51,53.5,25
Warren County,543.05,32.6,14.2
Washington County,563.91,26.2,11.6
Wayne County,715.49,23.5,11.2
White County,501.86,29.6,14.5
Whiteside County,696.53,85.5,37.7
Will County,849.23,809.6,283.8
Williamson County,444.35,157.9,72.3
Winnebago County,519.25,575.2,245.4
Woodford County,542.64,73.3,28.7
Indiana,36419.55,181,78
Adams County,339.97,101.4,38.4
Allen County,660.02,540.6,231.5
Bartholomew County,409.52,188.7,81.3
Benton County,406.51,21.8,9.7
